customer_id,signup_date,country,segment,email,marketing_consent
C00001,2025-12-14,GR,consumer,user1@example.com,false
C00002,2025-02-19,ES,enterprise,user2@example.com,true
C00003,2025-09-02,ES,consumer,user3@example.com,true
C00004,2025-12-07,GR,consumer,user4@example.com,false
C00005,2025-08-22,PT,mid_market,user5@example.com,true
C00006,2025-04-03,GR,enterprise,user6@example.com,true
C00007,2025-03-11,GR,consumer,user7@example.com,true
C00008,2025-08-13,PT,smb,user8@example.com,true
C00009,2025-07-02,FR,mid_market,user9@example.com,false
C00010,2025-05-06,DE,mid_market,user10@example.com,false
C00011,2025-02-28,DE,smb,user11@example.com,true
C00012,2025-06-26,PT,smb,user12@example.com,false
C00013,2025-10-21,FR,mid_market,user13@example.com,false
C00014,2025-12-15,IT,smb,user14@example.com,false
C00015,2025-09-15,PT,mid_market,user15@example.com,true
C00016,2025-09-27,FR,consumer,user16@example.com,true
C00017,2025-03-24,GR,mid_market,user17@example.com,true
C00018,2025-10-07,DE,enterprise,user18@example.com,true
C00019,2025-09-11,FR,mid_market,user19@example.com,false
C00020,2025-07-03,PT,enterprise,user20@example.com,false
C00021,2025-05-05,FR,smb,user21@example.com,true
C00022,2025-11-24,FR,mid_market,user22@example.com,false
C00023,2025-04-17,DE,consumer,user23@example.com,false
C00024,2025-03-13,GR,consumer,user24@example.com,true
C00025,2025-06-24,DE,enterprise,user25@example.com,true
C00026,2025-09-08,IT,smb,user26@example.com,true
C00027,2025-11-11,FR,consumer,user27@example.com,true
C00028,2025-11-14,FR,mid_market,user28@example.com,false
C00029,2025-03-09,FR,consumer,user29@example.com,false
C00030,2025-10-17,FR,mid_market,user30@example.com,true
C00031,2025-02-28,DE,enterprise,user31@example.com,true
C00032,2025-05-10,GR,smb,user32@example.com,true
C00033,2025-06-24,IT,consumer,user33@example.com,false
C00034,2025-04-24,IT,smb,user34@example.com,true
C00035,2025-11-04,IT,enterprise,user35@example.com,true
C00036,2025-10-09,FR,mid_market,user36@example.com,true
C00037,2025-05-24,ES,smb,user37@example.com,false
C00038,2025-12-18,IT,consumer,user38@example.com,true
C00039,2025-12-23,DE,mid_market,user39@example.com,true
C00040,2025-01-11,GR,smb,user40@example.com,true
C00041,2025-02-06,ES,consumer,user41@example.com,true
C00042,2025-06-14,GR,smb,user42@example.com,true
C00043,2025-12-26,PT,smb,user43@example.com,true
C00044,2025-05-21,GR,enterprise,user44@example.com,true
C00045,2025-10-16,GR,smb,user45@example.com,true
C00046,2025-10-09,DE,enterprise,user46@example.com,false
C00047,2025-11-02,ES,smb,user47@example.com,true
C00048,2025-02-14,FR,consumer,user48@example.com,true
C00049,2025-04-03,IT,enterprise,user49@example.com,true
C00050,2025-06-07,DE,mid_market,user50@example.com,true
C00051,2025-09-11,ES,mid_market,user51@example.com,false
C00052,2025-01-11,ES,consumer,user52@example.com,true
C00053,2025-05-07,GR,consumer,user53@example.com,true
C00054,2025-02-14,ES,enterprise,user54@example.com,false
C00055,2025-06-06,DE,smb,user55@example.com,true
C00056,2025-02-13,IT,consumer,user56@example.com,false
C00057,2025-07-09,GR,enterprise,user57@example.com,true
C00058,2025-05-10,FR,mid_market,user58@example.com,true
C00059,2025-11-24,IT,mid_market,user59@example.com,false
C00060,2025-01-12,GR,smb,user60@example.com,true
C00061,2025-01-26,FR,consumer,user61@example.com,false
C00062,2025-05-10,FR,enterprise,user62@example.com,true
C00063,2025-08-17,IT,consumer,user63@example.com,true
C00064,2025-10-26,FR,smb,user64@example.com,false
C00065,2025-05-25,PT,consumer,user65@example.com,true
C00066,2025-02-14,DE,smb,user66@example.com,false
C00067,2025-03-13,GR,mid_market,user67@example.com,true
C00068,2025-10-03,DE,mid_market,user68@example.com,true
C00069,2025-10-11,FR,smb,user69@example.com,true
C00070,2025-08-19,DE,enterprise,user70@example.com,true
C00071,2025-12-06,DE,smb,user71@example.com,true
