customer_id,signup_date,country,segment,email,marketing_consent,is_active
C00001,2025-12-14,GR,consumer,,false,false
C00002,2025-02-19,ES,enterprise,user2@example.com,true,true
C00003,2025-09-02,ES,consumer,user3@example.com,true,true
C00004,2025-12-07,GR,consumer,user4@example.com,false,false
C00005,2025-08-22,PT,mid_market,,true,false
C00006,2025-04-03,GR,enterprise,user6@example.com,true,true
C00007,2025-03-11,GR,consumer,,true,true
C00008,2025-08-13,PT,smb,user8@example.com,true,true
C00009,2025-07-02,FR,mid_market,user9@example.com,false,true
C00010,2025-05-06,DE,mid_market,user10@example.com,false,true
C00011,2025-02-28,DE,smb,user11@example.com,true,true
C00012,2025-06-26,PT,smb,user12@example.com,false,true
C00013,2025-10-21,FR,mid_market,user13@example.com,false,true
C00014,2025-12-15,IT,smb,user14@example.com,false,true
C00015,2025-09-15,PT,mid_market,,true,true
C00016,2025-09-27,FR,consumer,user16@example.com,true,false
C00017,2025-03-24,GR,mid_market,,true,false
C00018,2025-10-07,DE,enterprise,user18@example.com,true,true
C00019,2025-09-11,FR,mid_market,user19@example.com,false,true
C00020,2025-07-03,PT,enterprise,user20@example.com,false,true
C00021,2025-05-05,FR,smb,user21@example.com,true,true
C00022,2025-11-24,FR,mid_market,user22@example.com,false,true
C00023,2025-04-17,DE,consumer,,false,false
C00024,2025-03-13,GR,consumer,user24@example.com,true,true
C00025,2025-06-24,DE,enterprise,user25@example.com,true,true
C00026,2025-09-08,IT,smb,,true,true
C00027,2025-11-11,FR,consumer,user27@example.com,true,true
C00028,2025-11-14,FR,mid_market,user28@example.com,false,true
C00029,2025-03-09,FR,consumer,user29@example.com,false,true
C00030,2025-10-17,FR,mid_market,user30@example.com,true,true
C00031,2025-02-28,DE,enterprise,user31@example.com,true,true
C00032,2025-05-10,GR,smb,,true,false
C00033,2025-06-24,IT,consumer,user33@example.com,false,true
C00034,2025-04-24,IT,smb,user34@example.com,true,true
C00035,2025-11-04,IT,enterprise,user35@example.com,true,true
C00036,2025-10-09,FR,mid_market,user36@example.com,true,true
C00037,2025-05-24,ES,smb,user37@example.com,false,true
C00038,2025-12-18,IT,consumer,user38@example.com,true,true
C00039,2025-12-23,DE,mid_market,user39@example.com,true,true
C00040,2025-01-11,GR,smb,user40@example.com,true,true
C00041,2025-02-06,ES,consumer,user41@example.com,true,true
C00042,2025-06-14,GR,smb,user42@example.com,true,true
C00043,2025-12-26,PT,smb,user43@example.com,true,true
C00044,2025-05-21,GR,enterprise,user44@example.com,true,true
C00045,2025-10-16,GR,smb,user45@example.com,true,true
C00046,2025-10-09,DE,enterprise,user46@example.com,false,true
C00047,2025-11-02,ES,smb,user47@example.com,true,true
C00048,2025-02-14,FR,consumer,,true,true
C00049,2025-04-03,IT,enterprise,user49@example.com,true,false
C00050,2025-06-07,DE,mid_market,user50@example.com,true,true
C00051,2025-09-11,ES,mid_market,user51@example.com,false,true
C00052,2025-01-11,ES,consumer,,true,true
C00053,2025-05-07,GR,consumer,,true,true
C00054,2025-02-14,ES,enterprise,,false,true
C00055,2025-06-06,DE,smb,user55@example.com,true,true
C00056,2025-02-13,IT,consumer,user56@example.com,false,true
C00057,2025-07-09,GR,enterprise,user57@example.com,true,true
C00058,2025-05-10,FR,mid_market,user58@example.com,true,true
C00059,2025-11-24,IT,mid_market,user59@example.com,false,true
C00060,2025-01-12,GR,smb,user60@example.com,true,true
C00061,2025-01-26,FR,consumer,user61@example.com,false,true
C00062,2025-05-10,FR,enterprise,user62@example.com,true,false
C00063,2025-08-17,IT,consumer,,true,false
C00064,2025-10-26,FR,smb,user64@example.com,false,false
C00065,2025-05-25,PT,consumer,user65@example.com,true,true
C00066,2025-02-14,DE,smb,user66@example.com,false,true
C00067,2025-03-13,GR,mid_market,user67@example.com,true,true
C00068,2025-10-03,DE,mid_market,user68@example.com,true,true
C00069,2025-10-11,FR,smb,user69@example.com,true,true
C00070,2025-08-19,DE,enterprise,user70@example.com,true,true
C00071,2025-12-06,DE,smb,user71@example.com,true,true
C00072,2025-01-23,FR,enterprise,user72@example.com,true,true
C00073,2025-10-02,FR,enterprise,user73@example.com,false,true
C00074,2025-11-27,GR,mid_market,user74@example.com,true,true
C00075,2025-09-26,PT,smb,user75@example.com,true,true
C00076,2025-03-05,ES,enterprise,user76@example.com,true,true
C00077,2025-12-19,ES,smb,user77@example.com,true,true
C00078,2025-07-04,FR,smb,user78@example.com,true,true
C00079,2025-06-20,IT,mid_market,user79@example.com,false,false
C00080,2025-02-22,FR,consumer,user80@example.com,false,false
C00081,2025-02-16,PT,consumer,user81@example.com,false,true
C00082,2025-04-18,ES,mid_market,user82@example.com,true,true
C00083,2025-04-21,ES,mid_market,,false,true
C00084,2025-07-15,PT,enterprise,user84@example.com,true,false
C00085,2025-10-24,PT,smb,user85@example.com,true,true
C00086,2025-10-06,DE,mid_market,user86@example.com,false,true
C00087,2025-02-21,GR,mid_market,user87@example.com,true,true
C00088,2025-04-14,ES,consumer,user88@example.com,true,false
C00089,2025-12-13,FR,smb,user89@example.com,true,true
C00090,2025-05-15,IT,mid_market,user90@example.com,true,true
C00091,2025-07-04,FR,enterprise,user91@example.com,true,true
C00092,2025-10-27,GR,consumer,user92@example.com,true,true
C00093,2025-04-23,FR,smb,user93@example.com,true,true
C00094,2025-02-14,ES,smb,user94@example.com,true,true
C00095,2025-12-24,FR,consumer,user95@example.com,false,false
C00096,2025-02-14,IT,smb,user96@example.com,false,false
C00097,2025-11-15,GR,consumer,user97@example.com,true,true
C00098,2025-09-21,FR,consumer,user98@example.com,true,false
C00099,2025-02-19,ES,mid_market,user99@example.com,true,true
C00100,2025-06-26,PT,consumer,user100@example.com,false,true
C00101,2025-10-08,ES,mid_market,user101@example.com,true,true
C00102,2025-07-02,GR,mid_market,user102@example.com,false,true
C00103,2025-05-18,DE,mid_market,user103@example.com,false,false
C00104,2025-06-11,IT,mid_market,user104@example.com,false,false
C00105,2025-10-22,DE,smb,,true,true
C00106,2025-02-22,ES,mid_market,user106@example.com,true,false
C00107,2025-07-21,IT,mid_market,user107@example.com,true,false
C00108,2025-10-01,PT,consumer,user108@example.com,false,true
C00109,2025-06-28,FR,mid_market,user109@example.com,false,true
C00110,2025-03-03,ES,smb,user110@example.com,false,true
C00111,2025-02-26,PT,mid_market,user111@example.com,true,true
C00112,2025-11-27,GR,smb,,true,true
C00113,2025-12-17,IT,enterprise,user113@example.com,false,true
C00114,2025-09-14,GR,enterprise,user114@example.com,false,true
C00115,2025-02-02,DE,smb,user115@example.com,true,true
C00116,2025-11-11,FR,consumer,user116@example.com,true,true
C00117,2025-06-09,GR,smb,user117@example.com,true,true
C00118,2025-02-28,GR,mid_market,user118@example.com,true,true
C00119,2025-06-05,FR,smb,user119@example.com,false,false
C00120,2025-08-24,PT,consumer,user120@example.com,true,false
C00121,2025-12-01,ES,mid_market,,false,true
C00122,2025-08-15,PT,enterprise,,true,true
C00123,2025-07-06,GR,consumer,user123@example.com,true,true
C00124,2025-12-16,FR,mid_market,user124@example.com,true,true
C00125,2025-12-11,IT,smb,user125@example.com,false,false
C00126,2025-06-10,ES,smb,user126@example.com,true,true
C00127,2025-08-05,IT,smb,user127@example.com,false,true
C00128,2025-09-20,ES,mid_market,user128@example.com,true,true
C00129,2025-07-10,PT,mid_market,user129@example.com,true,false
C00130,2025-04-03,ES,mid_market,user130@example.com,true,true
C00131,2025-05-02,FR,enterprise,,false,true
C00132,2025-01-11,PT,smb,,true,false
